,sales,favorers,listings,macrame_products,years_in_business,items_sold_per_year,items_sold_per_month,avg_product_price,sales_per_month,sales_per_year,macrame_products_ratio,macrame_products_sales_per_year,macrame_products_sales_per_month,jewelry_products,decoration_products,material_products,macrame_sample_size,sample_listed_products,jewelry_products_profits,decoration_products_profits,material_products_profits,jewelry_products_quantities,decoration_products_quantities,material_products_quantities,decoration_products_sold_per_year,jewelry_products_sold_per_year,material_products_sold_per_year
344,26,33,18,1,2,13.0,1.0833333333333333,854.7,925.925,11111.1,5.5555555555555545,617.2833333333333,51.44027777777778,0.0,1.0,0.0,100.0,1.0,0.0,61728.33333333332,0.0,0.0,0.05555555555555555,0.0,0.7222222222222222,0.0,0.0
345,37,175,59,54,1,37.0,3.083333333333333,1082.01,3336.1975,40034.37,91.52542372881358,36641.62677966102,3053.4688983050846,0.0,2.0,0.0,3.7037037037037037,2.0,0.0,3664162.677966102,0.0,0.0,0.03389830508474576,0.0,1.2542372881355932,0.0,0.0
346,8,13,8,7,1,8.0,0.6666666666666666,347.91,231.94,2783.28,87.5,2435.37,202.9475,0.0,1.0,0.0,14.285714285714285,1.0,0.0,243537.0,0.0,0.0,0.125,0.0,1.0,0.0,0.0
347,47,211,44,9,4,11.75,0.9791666666666666,1007.29,986.3047916666666,11835.6575,20.454545454545453,2420.929943181818,201.74416193181816,0.0,3.0,0.0,33.333333333333336,3.0,0.0,242092.99431818182,0.0,0.0,0.06818181818181818,0.0,0.8011363636363635,0.0,0.0
348,35,168,17,17,3,11.666666666666664,0.9722222222222222,1504.3066666666666,1462.5203703703705,17550.244444444445,100.0,17550.244444444445,1462.5203703703705,0.0,15.0,0.0,88.23529411764706,15.0,0.0,1755024.4444444443,0.0,0.0,0.8823529411764706,0.0,10.29411764705882,0.0,0.0
349,4235,1639,322,49,10,423.5,35.291666666666664,116.9443137254902,4127.159738562093,49525.9168627451,15.217391304347824,7536.552566069907,628.0460471724922,25.0,0.0,51.0,155.10204081632654,76.0,247912.9133575627,0.0,505742.34324942797,0.07763975155279504,0.0,0.15838509316770188,0.0,32.8804347826087,67.07608695652175
350,1114,1448,1374,192,7,159.14285714285714,13.261904761904766,357.855,4745.838928571429,56950.06714285714,13.973799126637552,7958.087985028073,663.1739987523395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,1096,273,620,10,3,365.33333333333326,30.44444444444445,593.24,18060.862222222226,216730.34666666665,1.6129032258064515,3495.6507526881715,291.304229390681,0.0,0.0,1.0,10.0,1.0,0.0,0.0,349565.07526881713,0.0,0.0,0.0016129032258064516,0.0,0.0,0.5892473118279569
352,128,858,72,53,1,128.0,10.666666666666666,1345.7225,14354.373333333333,172252.48,73.6111111111111,126796.96444444446,10566.413703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,1233,1536,561,245,3,411.0,34.25,626.2433333333332,21448.834166666667,257386.01,43.67201426024955,112405.65499108734,9367.137915923946,2.0,0.0,1.0,1.2244897959183674,3.0,7493710.332739158,0.0,3746855.1663695774,0.0035650623885918,0.0,0.0017825311942959,0.0,1.4652406417112298,0.7326203208556149
354,53,48,59,52,1,53.0,4.416666666666667,994.035,4390.321250000001,52683.855,88.13559322033899,46433.22813559324,3869.435677966103,0.0,1.0,0.0,1.9230769230769231,1.0,0.0,4643322.813559325,0.0,0.0,0.01694915254237288,0.0,0.8983050847457628,0.0,0.0
355,25177,3518,326,325,7,3596.714285714286,299.7261904761905,56.28345911949683,16869.62678870919,202435.52146451027,99.69325153374231,201814.55360725714,16817.879467271432,123.0,0.0,159.0,86.76923076923076,282.0,8802549.678614408,0.0,11378905.682111308,0.3773006134969325,0.0,0.4877300613496933,0.0,1357.0425065731813,1754.225679228747
356,69,1009,140,8,5,13.8,1.15,776.23,892.6645,10711.973999999998,5.7142857142857135,612.1128,51.0094,0.0,2.0,0.0,25.0,2.0,0.0,61211.28,0.0,0.0,0.014285714285714284,0.0,0.19714285714285712,0.0,0.0
357,332,508,416,24,3,110.66666666666669,9.222222222222221,63.85666666666666,588.9003703703703,7066.804444444445,5.769230769230767,407.7002564102564,33.975021367521364,0.0,0.0,3.0,12.5,3.0,0.0,0.0,40770.02564102564,0.0,0.0,0.007211538461538461,0.0,0.0,0.7980769230769231
358,732,512,82,2,8,91.5,7.625,213.72,1629.615,19555.38,2.4390243902439024,476.9604878048781,39.746707317073174,0.0,0.0,2.0,100.0,2.0,0.0,0.0,47696.048780487814,0.0,0.0,0.024390243902439025,0.0,0.0,2.231707317073171
